EC_Tower,Date,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,source_file,NDVI_smooth,DFI_smooth,NDTI_smooth,SATVI_smooth,NDII7_smooth,SAVI_smooth,RDVI_smooth,MTVI1_smooth,NCI_smooth,NDCI_smooth,PSRI_smooth,NDWI_smooth,EVI_smooth,TCBI_smooth,TCGI_smooth,TCWI_smooth,BAI_126_smooth,BAI_136_smooth,BAI_146_smooth,BAI_236_smooth,BAI_246_smooth,BAI_346_smooth,BLUE_smooth,GREEN_smooth,RED_smooth,NIR1_smooth,SWIR1_smooth,SWIR2_smooth
EC AGM (NH),1/15/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.168349128,18.23155109,0.14694458,0.215965538,-0.199668288,0.091198512,8.950567385,0.025516287,0.574310229,0.477940991,0.166952505,-0.336731351,0.089032899,0.372920371,0.000455784,-0.294662837,163.1284414,158.3747767,157.3930029,155.9339668,157.1439427,159.2510892,712.7803775,900.6350192,1176.389516,1652.319989,3329.915512,2476.763178
EC AGM (NH),1/16/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16824018,18.18132225,0.146444929,0.215749539,-0.200102672,0.091142862,8.945040115,0.025519381,0.574079712,0.477810617,0.166798254,-0.336680728,0.088958723,0.372983212,0.000397899,-0.294750952,163.0425466,158.3650053,157.4114646,155.9800417,157.1866675,159.2892828,712.5314538,901.1442079,1176.621953,1652.274102,3329.432646,2479.005184
EC AGM (NH),1/17/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168142889,18.12925021,0.14593306,0.215539949,-0.20054718,0.091098774,8.940536407,0.025540144,0.573833034,0.47768818,0.166602359,-0.336628587,0.088900461,0.373085413,0.000338549,-0.29487118,162.9575783,158.3592946,157.4303646,156.0323846,157.2297539,159.3250486,712.4079368,901.7845243,1176.942481,1652.392378,3329.269425,2481.55416
EC AGM (NH),1/18/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168058274,18.07546203,0.145410528,0.215337998,-0.201000437,0.091067035,8.937128513,0.025579401,0.573570413,0.477574613,0.166363501,-0.336575071,0.088859186,0.373228576,0.000277914,-0.295024671,162.8739474,158.3578795,157.4496449,156.0910962,157.2730365,159.3581083,712.4168486,902.5600233,1177.354292,1652.682814,3329.4431,2484.415114
EC AGM (NH),1/19/2017,0.167445798,18.14004252,0.145758849,0.214926527,-0.200721507,0.09048462,8.885279971,0.024731538,0.574237008,0.477130725,0.168291633,-0.336623856,0.088058715,0.371366503,0.000320596,-0.293523059,162.7883276,158.1579938,157.4374076,155.8118245,157.2760907,159.4930815,706.2692308,896.5,1173.230769,1644.769231,3313.846154,2470.730769,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.167987342,18.02010302,0.144879049,0.215144943,-0.20146093,0.091048408,8.93488666,0.02563792,0.573292175,0.477470857,0.166080534,-0.336520342,0.088835936,0.373414158,0.000216189,-0.295212448,162.7920828,158.3609836,157.4692413,156.1562459,157.3163383,159.3881818,712.5648595,903.4742042,1177.860232,1653.152875,3329.969988,2487.591496
EC AGM (NH),1/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16793109,17.96333681,0.144340502,0.214962075,-0.201927005,0.09104363,8.933879053,0.02571641,0.572998756,0.477377857,0.165752487,-0.33646458,0.088831715,0.373643471,0.000153591,-0.295435404,162.7124313,158.3688197,157.4890839,156.2278707,157.3594708,159.4149881,712.8582873,904.5300108,1178.4628,1653.8095,3330.86547,2491.085198
EC AGM (NH),1/21/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167884835,17.90435634,0.143785713,0.214783239,-0.202406732,0.09104926,8.933787261,0.025811632,0.572687895,0.477291137,0.165383621,-0.336406906,0.088841843,0.373910586,8.91E-05,-0.295689549,162.6328491,158.3804033,157.5095143,156.305854,157.4033464,159.4398577,713.2679421,905.7145719,1179.150836,1654.6209,3332.058622,2494.890176
EC AGM (NH),1/22/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167848502,17.84317869,0.143214806,0.214608405,-0.202900003,0.091065218,8.934604219,0.025923458,0.572359724,0.477210647,0.164974249,-0.336347336,0.08886621,0.374215213,2.26E-05,-0.295974642,162.5533357,158.3957055,157.5305278,156.3901469,157.4479592,159.4628057,713.7929271,907.0268941,1179.923679,1655.58588,3333.547149,2499.004027
EC AGM (NH),1/23/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167822611,17.77083431,0.142547152,0.214412817,-0.203486813,0.091085905,8.935899595,0.026061224,0.571987434,0.477138043,0.164477815,-0.336287311,0.088894804,0.374530356,-5.31E-05,-0.296286067,162.4602504,158.4165125,157.5566439,156.4941331,157.502122,159.489867,714.2930592,908.4468659,1180.656456,1656.530898,3334.995985,2503.601911
EC AGM (NH),1/24/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.167806848,17.68923766,0.141799885,0.214201549,-0.204150214,0.09111227,8.937744099,0.026222636,0.571576969,0.477072851,0.163904863,-0.336226571,0.088929415,0.374860858,-0.000136412,-0.296624141,162.3564335,158.4423749,157.5869088,156.6148929,157.5639835,159.5198243,714.7951392,909.9760141,1181.373415,1657.488907,3336.468779,2508.640899
EC AGM (NH),1/25/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16780085,17.60023806,0.140989534,0.213979445,-0.204873869,0.091145167,8.940200171,0.026405401,0.571134137,0.477014578,0.163265746,-0.336164877,0.088971675,0.37521114,-0.00022593,-0.296988984,162.244609,158.4728391,157.6204043,156.7495882,157.6317634,159.5515215,715.3241908,911.6150463,1182.097311,1658.490606,3338.024831,2514.077983
EC AGM (NH),1/26/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167804211,17.50561972,0.140132027,0.213751116,-0.205642054,0.091185345,8.943321981,0.026607218,0.570664605,0.476962715,0.162570627,-0.336102011,0.089023056,0.375585205,-0.000320148,-0.29738052,162.1273847,158.5074482,157.6562477,156.8954628,157.7037528,159.5838635,715.9034605,913.3638507,1182.849406,1659.564438,3339.719094,2519.870078
EC AGM (NH),1/27/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167816478,17.40710173,0.139242685,0.213520945,-0.206439656,0.091233457,8.947155429,0.026825781,0.570173897,0.476916734,0.161829478,-0.336037779,0.089084876,0.375986635,-0.000417657,-0.297798476,162.007252,158.5457415,157.6935916,157.0498422,157.778314,159.6158163,716.5544175,915.2214965,1183.649473,1660.736592,3341.602173,2525.97402
EC AGM (NH),1/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167836589,17.31440388,0.138408596,0.213315766,-0.207178452,0.091296502,8.952232042,0.02704942,0.569692591,0.476872925,0.161098367,-0.335968872,0.089168333,0.376450941,-0.000509926,-0.298252342,161.8987409,158.5846599,157.7267944,157.1963681,157.8450724,159.6404434,717.4329746,917.2174308,1184.658001,1662.228483,3344.09145,2532.237171
EC AGM (NH),1/29/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.167864116,17.22743461,0.1376288,0.213134774,-0.207859912,0.09137359,8.958478284,0.027277771,0.569220685,0.476831387,0.160377244,-0.335895794,0.089272338,0.376974126,-0.000597144,-0.298739377,161.8015778,158.624276,157.7560858,157.3353973,157.9043675,159.6580752,718.5286673,919.3425846,1185.86215,1664.020648,3347.151519,2538.639004
EC AGM (NH),1/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167898581,17.14610585,0.136902344,0.212977125,-0.208485487,0.091463781,8.96581655,0.027510384,0.56875825,0.47679217,0.159666261,-0.33581904,0.08939573,0.377552048,-0.000679495,-0.299256732,161.7154762,158.6646364,157.7816902,157.4672518,157.9565355,159.6690526,719.8304123,921.5873352,1187.248796,1666.093048,3350.745776,2545.157983
EC AGM (NH),1/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.167939455,17.07033298,0.136228288,0.212841936,-0.209056616,0.091566094,8.974165163,0.027746725,0.568305432,0.476755283,0.158965772,-0.335739101,0.089537273,0.378180423,-0.000757154,-0.299801444,161.6401363,158.7057623,157.8038264,157.5922179,158.0019084,159.673727,721.3265075,923.9415056,1188.804533,1668.42507,3354.836429,2551.771566
EC AGM (NH),2/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167986156,17.00003484,0.135605706,0.212728288,-0.209574721,0.091679501,8.983438377,0.027986174,0.567862451,0.47672069,0.158276336,-0.335656467,0.089695663,0.378854819,-0.000830285,-0.300370438,161.5752457,158.7476489,157.8227074,157.710547,158.0408149,159.6724599,723.0046318,926.3943652,1190.515673,1670.995522,3359.384492,2558.4562
EC AGM (NH),2/2/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168038055,16.93513375,0.13503368,0.212635222,-0.21004121,0.091802928,8.993546376,0.028228029,0.5674296,0.476688309,0.157598714,-0.335571618,0.089869521,0.37957066,-0.000899046,-0.30096053,161.5204788,158.7902658,157.8385408,157.822455,158.0735798,159.6656232,724.8518453,928.9346291,1192.368243,1673.782638,3364.349789,2565.187327
EC AGM (NH),2/3/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168094469,16.87555547,0.134511307,0.212561743,-0.210457473,0.091935258,9.004395272,0.028471502,0.567007246,0.476658015,0.156933872,-0.335485033,0.090057397,0.380323225,-0.000963586,-0.301568422,161.475497,158.8335568,157.8515284,157.9281226,158.1005243,159.6535993,726.8545893,931.5504586,1194.347989,1676.764079,3369.690949,2571.939379
EC AGM (NH),2/4/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168154667,16.82122925,0.134037691,0.212506817,-0.210824886,0.092075327,9.015887109,0.028715721,0.566595833,0.476629639,0.156282977,-0.335397184,0.09025777,0.38110765,-0.001024045,-0.302190705,161.4399489,158.87744,157.8618667,158.0276953,158.1219659,159.6367808,728.9986861,934.229461,1196.440373,1679.916925,3375.365413,2578.685782
EC AGM (NH),2/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168217865,16.77208778,0.133611952,0.212469373,-0.211144812,0.092221927,9.027919858,0.02895973,0.566195875,0.476602965,0.1556474,-0.335308539,0.090469046,0.381918924,-0.001080557,-0.302823859,161.4134699,158.9218076,157.8697463,158.1212833,158.1382182,159.6155708,731.2693392,936.9586897,1198.630575,1683.217685,3381.329425,2585.398953
EC AGM (NH),2/6/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168283231,16.72806722,0.133233219,0.2124483,-0.211418594,0.092373805,9.040387423,0.029202487,0.565807963,0.476577734,0.155028717,-0.335219562,0.09068956,0.382751893,-0.001133244,-0.303464251,161.3956825,158.9665263,157.8753523,158.2089616,158.1495914,159.5903827,733.6511334,939.7246439,1200.903491,1686.64229,3387.538041,2592.0503
EC AGM (NH),2/7/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16834988,16.68910721,0.132900634,0.212442452,-0.211647564,0.09252966,9.053179633,0.029442867,0.56543276,0.476553645,0.154428704,-0.335130712,0.090917572,0.383601256,-0.001182222,-0.304108139,161.3861964,159.011437,157.8788643,158.2907698,158.1563917,159.5616401,736.1280344,942.513269,1203.243735,1690.166095,3393.945123,2598.610225
