Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,4,AGM,25NW,Loamy,MCLO,1,4,10,180.3,0.0,33.9,81.3,50.6,0.0,180.3,40.9,
2013,4,AGM,25NW,Loamy,MCLO,1,4,20,333.1,0.0,10.8,285.2,0.0,0.0,333.1,6.5,
2013,4,AGM,25NW,Loamy,MCLO,2,1,10,298.7,23.1,15.1,130.2,3.2,0.0,321.8,24.8,
2013,4,AGM,25NW,Loamy,MCLO,2,1,20,347.1,15.1,3.8,137.8,147.5,0.0,362.2,7.0,
2013,4,AGM,25NW,Loamy,MCLO,2,4,10,282.0,15.1,122.2,77.0,1360.6,0.0,297.1,8.1,
2013,4,AGM,25NW,Loamy,MCLO,2,4,20,382.1,59.2,197.0,130.2,452.1,0.0,441.3,10.8,
2013,4,AGM,25NW,Loamy,MCLO,3,1,10,417.6,20.5,9.1,162.5,5.4,0.0,438.1,47.9,
2013,4,AGM,25NW,Loamy,MCLO,3,1,20,72.7,13.5,41.4,207.7,18.8,0.0,86.1,16.1,
2013,4,AGM,25NW,Loamy,MCLO,3,4,10,363.8,42.0,0.0,192.7,39.8,0.0,405.8,41.4,
2013,4,AGM,25NW,Loamy,MCLO,3,4,20,118.4,414.9,0.0,35.0,11.8,0.0,533.4,139.4,
2013,4,AGM,25NW,Loamy,MCLO,4,1,10,153.4,0.0,262.1,167.4,0.0,0.0,153.4,59.2,
2013,4,AGM,25NW,Loamy,MCLO,4,1,20,122.2,0.0,8.1,0.0,0.0,0.0,122.2,5.4,
2013,4,AGM,25NW,Loamy,MCLO,4,4,10,439.7,13.5,24.2,130.8,70.0,0.0,453.2,61.9,
2013,4,AGM,25NW,Loamy,MCLO,4,4,20,192.7,5.4,0.0,0.0,102.8,0.0,198.1,13.5,
2013,4,TGM,25SE,Loamy,MCLO,1,1,10,284.2,0.0,3.8,91.0,0.0,0.0,284.2,90.4,
2013,4,TGM,25SE,Loamy,MCLO,1,1,20,335.3,0.0,2.2,18.3,100.1,0.0,335.3,122.2,
2013,4,TGM,25SE,Loamy,MCLO,1,4,10,163.6,0.0,86.6,2.7,0.0,0.0,163.6,60.8,
2013,4,TGM,25SE,Loamy,MCLO,1,4,20,454.8,0.0,192.1,115.7,5.9,0.0,454.8,22.1,
2013,4,TGM,25SE,Loamy,MCLO,2,1,20,498.9,0.0,18.3,8.6,3.8,0.0,498.9,22.6,
2013,4,TGM,25SE,Loamy,MCLO,2,4,10,197.5,21.5,38.2,29.1,1.1,0.0,219.0,45.7,
2013,4,TGM,25SE,Loamy,MCLO,2,4,20,417.1,0.0,21.5,0.0,16.1,0.0,417.1,80.7,
2013,4,TGM,25SE,Loamy,MCLO,3,1,10,262.1,21.0,3.2,152.3,553.8,0.0,283.1,276.1,
2013,4,TGM,25SE,Loamy,MCLO,3,1,20,326.7,37.7,0.0,88.3,8.6,0.0,364.4,216.9,
2013,4,TGM,25SE,Loamy,MCLO,3,4,10,126.5,73.7,3.2,191.6,221.2,0.0,200.2,354.7,
2013,4,TGM,25SE,Loamy,MCLO,3,4,20,335.3,0.0,0.0,0.0,3.8,0.0,335.3,95.3,
