"","YearSampled","Pasture","Plot","Transect","Distance","Block","Treatment","Ecosite","PastureSize_ha","X","Y","FGcode","kgPerHa"
"184",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"FORB",128.09
"185",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"SD",36.6
"186",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"WSPG",161.46
"187",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"SS",0
"188",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"OTHER",0
"189",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"NA",0
"190",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"AG",0
"191",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"BOBU",471.46
"192",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"C3PG",122.17
"193",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"FORB",15.07
"194",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"SD",79.65
"195",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"WSPG",0
"196",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"SS",0
"197",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"OTHER",0
"198",2013,"17N",2,4,"20",9,"TGM","Loamy",128.63,525804,4520580,"NA",0
"199",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"AG",0
"200",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"BOBU",465.54
"201",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"C3PG",449.39
"202",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"FORB",0
"203",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"SD",439.17
"204",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"WSPG",684.59
"205",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"SS",0
"206",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"OTHER",0
"207",2013,"17N",3,1,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"NA",0
"208",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"AG",0
"209",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"BOBU",3.77
"210",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"C3PG",768.54
"211",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"FORB",0
"212",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"SD",385.35
"213",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"WSPG",478.46
"214",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"SS",0
"215",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"OTHER",0
"216",2013,"17N",3,1,"20",9,"TGM","Salt Flats",128.63,526165,4520580,"NA",0
"217",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"AG",0
"218",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"BOBU",0
"219",2013,"17N",3,4,"10",9,"TGM","Salt Flats",128.63,526165,4520580,"C3PG",58.66
