ID,PastureCode,Year,YearNum,Rest,SDperHa_June15LastYear_to_June15ThisYear,NumSteers,RotationOrder,TriggerUsed,TriggerUsedID,DateInPasture,DateOutPasture,Days,split_herd,comments,,
206,31W,2017,2017,0,,244,7,Infrastructure issue - water well failure,7,8/30/2017,9/5/2017,6,,,,
207,17S,2017,2017,0,,244,8,Taken out of rest for grazing due to infrastructure issue in south,7,9/5/2017,9/20/2017,15,,,,
208,8E,2017,2017,0,,244,9,Last 10 days fo grazing,5,9/20/2017,9/30/2017,10,,,,
209,20NW,2017,2017,1,,0,0,,,,,0,,,,
210,15E,2017,2017,0,,23,,,,5/12/2017,9/30/2017,141,,,,
212,20SE,2017,2017,,,25,,,,5/12/2017,9/30/2017,141,,,,
213,17N,2017,2017,,,25,,,,5/12/2017,9/30/2017,141,,,,
214,5E,2017,2017,,,25,,,,5/12/2017,9/30/2017,141,,,,
215,7NW,2017,2017,,,23,,,,5/12/2017,9/30/2017,141,,,,
216,19N,2017,2017,,,27,,,,5/12/2017,9/30/2017,141,,,,
217,31E,2017,2017,,,27,,,,5/12/2017,9/30/2017,141,,,,
218,25SE,2017,2017,,,23,,,,5/12/2017,9/30/2017,141,,,,
219,26E,2017,2017,,,23,,,,5/12/2017,9/30/2017,141,,,,
220,24W,2017,2017,,,23,,,,5/12/2017,9/30/2017,141,,,,
221,17S,2018,2018,0,,280,9,"Max days of 14, thought was to graze headquarters (7SE) for longer and finish them in salt flat (17S) for ten days",2,9/14/2018,9/29/2018,15,,,,
222,18S,2018,2018,0,,280,2,Max days of 14,2,5/24/2018,6/8/2018,15,,,,
223,20NW,2018,2018,0,,280,1,Max days of 14,2,5/11/2018,5/24/2018,13,,,,
224,21N,2018,2018,1,,0,0,,,,,0,,,,
225,25NW,2018,2018,0,,280,4,Max days of 21,2,6/28/2018,7/19/2018,21,,,,
226,26W,2018,2018,0,,280,5,Max days of 14,2,7/19/2018,8/1/2018,13,,,,
227,31W,2018,2018,0,,280,3,Max days of 21,2,6/8/2018,6/28/2018,20,,,,
228,7SE,2018,2018,0,,280,8,Max days of 14,2,8/31/2018,9/14/2018,14,,,,
229,8E,2018,2018,0,,280,7,"Max days of 14 days to graze, but initially this pasture was to be grazed only 10 days",2,8/17/2018,8/31/2018,14,,,,
230,NH,2018,2018,0,,280,6,Moved into NH and highway (21N) was rested due to a well failure in 21N,7,8/1/2018,8/17/2018,16,,,,
231,20SE,2018,2018,,,29,,,,5/11/2018,9/29/2018,141,,,,
232,17N,2018,2018,,,29,,,,5/11/2018,9/29/2018,141,,,,
233,5E,2018,2018,,,29,,,,5/11/2018,9/29/2018,141,,,,
234,7NW,2018,2018,,,26,,,,5/11/2018,9/29/2018,141,,,,
235,19N,2018,2018,,,31,,,,5/11/2018,9/29/2018,141,,,,
236,31E,2018,2018,,,31,,,,5/11/2018,9/29/2018,141,,,,
237,25SE,2018,2018,,,27,,,,5/11/2018,9/29/2018,141,,,,
238,26E,2018,2018,,,26,,,,5/11/2018,9/29/2018,141,,,,
239,24W,2018,2018,,,26,,,,5/11/2018,9/29/2018,141,,,,
240,15E,2018,2018,,,26,,,,5/11/2018,9/29/2018,141,,,,
241,20SE,2019,2019,,,26,,,,5/17/2019,9/27/2019,133,,,,
242,17N,2019,2019,,,25,,,,5/17/2019,9/27/2019,133,,,,
243,5E,2019,2019,,,25,,,,5/17/2019,9/27/2019,133,,,,
244,7NW,2019,2019,,,23,,,,5/17/2019,9/27/2019,133,,,,
245,19N,2019,2019,,,26,,,,5/17/2019,9/27/2019,133,,,,
246,31E,2019,2019,,,27,,,,5/17/2019,9/27/2019,133,,,,
247,25SE,2019,2019,,,23,,,,5/17/2019,9/27/2019,133,,,,
248,26E,2019,2019,,,23,,,,5/17/2019,9/27/2019,133,,,,
249,24W,2019,2019,,,23,,,,5/17/2019,9/27/2019,133,,,,
250,15E,2019,2019,,,23,,,,5/17/2019,9/27/2019,133,,,,
251,7SE,2019,2019,0,,244,1,VOR,,5/17/2019,5/29/2019,12,,,,
252,20NW,2019,2019,0,,244,2,MAX DAYS,,5/29/2019,6/12/2019,14,,,,
253,17S,2019,2019,0,,244,3,MAX DAYS,,6/12/2019,7/1/2019,19,,,,
254,21N,2019,2019,0,,244,4,MAX DAYS,,7/1/2019,7/23/2019,22,,,,
255,26W,2019,2019,0,,244,5,VOR,,7/23/2019,8/8/2019,16,,,,
256,25NW,2019,2019,0,,244,6,VOR,,8/8/2019,8/22/2019,14,,,,
257,31W,2019,2019,0,,244,7,VOR,,8/22/2019,9/13/2019,22,,,,
258,18S,2019,2019,0,,244,8,LAST 14 DAYS,,9/13/2019,9/27/2019,14,,,,
259,8E,2019,2019,1,,,,,,,,0,,,,
260,NH,2019,2019,1,,,,,,,,0,,,,
261,18S,2020,2020,0,,244,1,,,5/15/2020,6/3/2020,19,1,fence open between snowfence and saltflat,,
262,17S,2020,2020,0,,244,1,,,5/15/2020,6/3/2020,19,2,fence open between snowfence and saltflat,,
263,20NW,2020,2020,0,,244,2,,,6/4/2020,6/17/2020,13,1,fence open between saltflat and elm,,
264,17S,2020,2020,0,,244,2,,,6/4/2020,6/17/2020,13,2,fence open between saltflat and elm,,
265,25NW,2020,2020,0,,122,3,,,6/18/2020,6/30/2020,12,1,herds split,,
266,31W,2020,2020,0,,122,3,,,6/18/2020,6/30/2020,12,2,herds split,,
267,21N,2020,2020,0,,122,4,,,7/1/2020,8/5/2020,35,1,herds split,,
268,26W,2020,2020,0,,122,4,,,7/1/2020,7/19/2020,18,2,herds split,,
269,8E,2020,2020,0,,122,5,,,7/20/2020,8/25/2020,36,2,herds split,,
270,NH,2020,2020,0,,122,5,,,8/6/2020,9/2/2020,27,1,herds split,,
271,7SE,2020,2020,0,,122,6,,,8/26/2020,9/22/2020,27,2,herds split,,
272,25NW,2020,2020,0,,122,6,,,9/3/2020,9/14/2020,11,1,herds split,,
273,31W,2020,2020,0,,122,7,,,9/15/2020,9/22/2020,7,1,herds split,,
274,18S,2020,2020,0,,122,7,,,9/23/2020,10/2/2020,9,2,herds split,,
275,20NW,2020,2020,0,,122,8,,,9/23/2020,10/2/2020,9,1,herds split,,
276,20SE,2020,2020,,,26,,,,,,,,,,
277,17N,2020,2020,,,25,,,,,,,,,,
278,5E,2020,2020,,,25,,,,,,,,,,
279,7NW,2020,2020,,,23,,,,,,,,,,
280,19N,2020,2020,,,26,,,,,,,,,,
281,31E,2020,2020,,,27,,,,,,,,,,
282,25SE,2020,2020,,,23,,,,,,,,,,
283,26E,2020,2020,,,23,,,,,,,,,,
284,24W,2020,2020,,,23,,,,,,,,,,
285,15E,2020,2020,,,23,,,,,,,,,,
286,8E,2021,2021,0,,107,1,VOR Threshold & Max Days,,5/21/2021,6/18/2021,28,1,herds split,,
287,21N,2021,2021,0,,107,2,Max Days,,6/18/2021,7/30/2021,42,1,herds split,,
