Year,Date,Id,iapar,pct_cover,pct_green,pct_litt,pct_bare,pct_sd,abs_green,abs_sd,rel_bare,rel_litt,rel_sd,rel_green,pct_c4_ras,pct_c3_ras,ndvi,dfi,ndti,satvi,ndii7,blue,green,red,nir,swir1,swir2,bai_346,bai_146,bai_136,bai_236,bai_126,bai_246,pct_canopy,abs_cover
2013,2013-06-12,17N_P1_2,50.439087,0.52,0.38,0.28,0.2,0.14,0.86,0.36,0.10204081632653061,0.2755102040816326,0.1836734693877551,0.4387755102040816,0.7623499929904938,0.1849333370725313,0.29836953,10.641395,0.10948226,0.17096092,-0.030416435,865.5547,1153.8583,1331.4404,2465.096,3263.4385,2620.6365,128.34312,135.67271,158.22287,166.90874,150.87401,134.65697,0.46,1.22
2013,2013-06-12,17N_P1_3,49.827213,0.64,0.44,0.26,0.1,0.2,0.82,0.54,0.07476635514018691,0.2897196261682243,0.2523364485981308,0.38317757009345793,0.7564314802487692,0.1914111127456029,0.2985945,10.574164,0.10851166,0.17306745,-0.035130568,872.0395,1159.4945,1340.7664,2482.9453,3311.8818,2664.3052,128.43538,135.73578,158.37488,166.80011,151.27573,134.66287,0.62,1.3599999999999999
2013,2013-06-12,17N_P1_4,46.314312,0.66,0.4,0.28,0.06,0.26,0.66,0.66,0.03636363636363636,0.36363636363636365,0.3,0.3,0.5431407392024994,0.2950629616777102,0.28579172,11.038802,0.11056751,0.1689409,-0.041068092,829.628,1108.6783,1277.1455,2302.7712,3117.4622,2497.868,131.68407,138.50615,158.6599,167.43892,151.19258,137.81944,0.66,1.32
2013,2013-06-12,17N_P2_1,56.55798,0.76,0.54,0.2,0.04,0.22,1.2,0.54,0.008333333333333333,0.26666666666666666,0.225,0.5,0.7274259229501089,0.2149944429596265,0.3059148,10.565694,0.11059204,0.1739295,-0.02540058,868.8511,1160.4712,1343.0516,2527.5525,3320.836,2660.5393,126.94967,134.3867,158.01476,166.60585,150.78069,133.2351,0.68,1.74
2013,2013-06-12,17N_P2_2,53.177082,0.66,0.44,0.28,0.06,0.22,0.96,0.42,0.04716981132075472,0.3018867924528302,0.19811320754716982,0.4528301886792453,0.6164500117301941,0.3047759259740512,0.3134233,11.149067,0.119649194,0.17507613,-0.009273677,813.64667,1096.3512,1261.6815,2415.6235,3129.0051,2461.794,126.780914,134.47838,158.45695,167.70183,150.56444,133.34666,0.66,1.38
2013,2013-06-12,17N_P2_3,50.27757,0.52,0.42,0.4,0.08,0.1,0.72,0.2,0.0449438202247191,0.43820224719101125,0.11235955056179775,0.4044943820224719,0.7502481540044149,0.1945222243666649,0.29851028,10.73145,0.11048924,0.17642154,-0.03777762,880.1999,1166.818,1353.4315,2507.1865,3374.3318,2703.7617,128.39153,135.64867,158.36018,166.40242,151.64265,134.50076,0.52,0.9199999999999999
2013,2013-06-12,17N_P2_4,52.57938,0.5800000000000001,0.44,0.28,0.14,0.14,0.7,0.44,0.09803921568627451,0.3431372549019608,0.21568627450980393,0.3431372549019608,0.5584796220064163,0.3767925923069318,0.3086997,11.122525,0.11804529,0.17620087,-0.017790893,835.0965,1108.4828,1281.9883,2429.4744,3189.8848,2517.8477,127.418205,135.07094,158.83286,166.9463,151.76833,133.78795,0.56,1.14
2013,2013-06-12,17N_P3_1,51.429005,0.84,0.36,0.16,0.0,0.48,0.92,1.34,0.0,0.2848101265822785,0.4240506329113924,0.2911392405063291,0.2562185153365135,0.6647092600663503,0.3536227,12.938886,0.15702838,0.20441051,0.033422615,788.0513,1085.318,1213.8607,2534.522,3260.1287,2381.7546,120.86004,129.88306,159.6018,172.42133,148.66074,128.51167,0.84,2.2600000000000002
2013,2013-06-12,17N_P3_2,67.5714,0.6,0.38,0.36,0.04,0.22,1.04,0.48,0.03389830508474576,0.3220338983050847,0.2033898305084746,0.4406779661016949,,,0.39902642,12.288986,0.16915895,0.20090826,0.10038211,696.6963,994.98553,1101.0045,2563.6833,2956.376,2111.377,115.37509,124.90662,159.29509,173.8111,146.83772,123.27364,0.58,1.52
2013,2013-06-12,17N_P3_3,55.142124,0.7,0.08,0.28,0.02,0.62,0.88,1.86,0.005681818181818182,0.2159090909090909,0.5284090909090909,0.25,0.2415629625320434,0.6983759303887686,0.36765385,13.306794,0.16924423,0.206128,0.053985,702.3289,1001.3562,1110.6727,2390.1118,3031.5898,2164.4314,121.063416,130.13374,159.58525,173.91101,147.34401,129.01003,0.7,2.74
2013,2013-06-12,17N_P3_4,68.686424,0.98,0.5,0.0,0.02,0.48,1.42,4.26,0.0,0.12883435582822086,0.6533742331288344,0.21779141104294478,,,0.4443439,12.901109,0.20391798,0.2029711,0.17272198,548.95465,845.01373,903.9758,2366.675,2518.59,1675.1464,113.24552,123.31417,160.21822,178.26512,144.5301,121.867165,0.98,5.68
2013,2013-06-12,17N_P4_1,57.45227,0.9,0.12,0.1,0.0,0.78,1.64,3.84,0.0,0.10457516339869281,0.6274509803921569,0.2679738562091503,0.2253499999642372,0.672814816236496,0.42388582,13.220311,0.19825046,0.21081765,0.12847476,582.405,873.6258,923.72296,2285.468,2638.5854,1779.9312,116.843544,127.06564,161.95131,180.43669,145.94652,125.80173,0.9,5.4799999999999995
2013,2013-06-12,17N_P4_2,54.419525,0.9199999999999999,0.22,0.06,0.02,0.7,1.44,2.18,0.004672897196261682,0.14953271028037382,0.5093457943925234,0.3364485981308411,0.2364685187737147,0.7067462801933289,0.38700148,12.694996,0.16924651,0.20542586,0.06745236,661.95386,939.2563,1006.5474,2278.7976,2805.4075,2002.8359,120.70194,130.91917,162.94989,179.16374,148.87396,129.53804,0.92,3.62
2013,2013-06-12,17N_P4_3,49.44797,0.6799999999999999,0.32,0.2,0.12,0.36,0.72,1.04,0.06818181818181818,0.26515151515151514,0.3939393939393939,0.2727272727272727,0.2897425889968872,0.6215166648228964,0.33637747,11.939038,0.13746215,0.1888677,0.011569086,770.1016,1060.8346,1178.1866,2370.6594,3061.0461,2327.592,124.85323,133.5844,160.35742,173.48701,148.97746,132.60179,0.68,1.76
2013,2013-06-12,17N_P4_4,47.07289,0.78,0.26,0.22,0.0,0.52,1.32,1.68,0.010810810810810811,0.1783783783783784,0.4540540540540541,0.3567567567567568,0.2333444431424141,0.5995036909977595,0.32810685,12.646901,0.14323674,0.18643373,0.01993137,798.5473,1124.3126,1266.8567,2492.1145,3207.923,2410.049,123.58228,131.41576,156.94595,170.27826,145.90717,130.83788,0.78,3.0
2013,2013-06-12,17N_P5_1,59.559616,0.64,0.3,0.28,0.08,0.34,0.54,0.8,0.047619047619047616,0.3142857142857143,0.38095238095238093,0.2571428571428571,0.5577185203631719,0.344477782646815,0.33670464,11.451149,0.13056652,0.18159397,0.015431774,766.23145,1038.2518,1170.9845,2362.155,2978.0554,2291.3137,124.59644,133.30217,160.28697,171.1629,150.64249,131.96762,0.58,1.34
