index,Year,PastureID,on_date,off_date,on_wt_raw,on_wt,off_wt_raw,off_wt,on_ct,period_days,adg,outlier_adg_upr,outlier_adg_lwr,outlier_adg,outlier_on_wt_upr,outlier_on_wt_lwr,outlier_on_wt,outlier_off_wt_upr,outlier_off_wt_lwr,outlier_off_wt,num_animals,area_ha,on_ct_ha,on_au,on_au_ha,CP,DOM,Biomass_kg_ha,forage_kg_au,forage_kg_100kg,period
257,2019,23W,2019-07-11,2019-08-08,882.2666666666667,805.5094666666666,909.0666666666667,827.2506666666667,17.0,28.0,0.7764714285714287,2.219183690240697,-0.6662408330978398,0.0,913.0925944389022,697.9263388944313,0.0,950.8802155617426,703.6211177715905,0.0,15,126.48,0.13440860215053763,13.693660933333334,0.10826740143369176,9.194782716049382,62.88678888888891,1117.8479133333333,2581.219966792031,2276.2463723029828,2
258,2019,23W,2019-08-08,2019-09-05,909.0666666666667,827.2506666666667,988.4,918.2235999999999,17.0,28.0,3.2490333333333337,6.9506876130577036,-0.7262143987719892,0.0,948.3394474787242,708.2070525212756,0.0,1076.8698167776377,757.6729332223622,0.0,15,126.48,0.13440860215053763,14.063261333333333,0.11118960573476702,7.741311111111111,61.76808765432098,907.9111533333335,2041.3579743664964,1800.1695878319083,3
259,2019,23W,2019-09-05,2019-09-27,987.375,917.271375,988.125,918.34025,17.0,22.0,0.0485852272727271,4.216249422318352,-4.119078967772898,0.0,1076.8698167776377,757.6729332223622,0.0,1027.6729531011306,809.0075468988692,0.0,16,126.48,0.13440860215053763,15.593613375,0.12328916330645161,6.64695873015873,61.788958730158726,791.9130219047618,1605.8041937075132,1416.0769006828866,4
260,2020,15E,2020-05-16,2020-06-11,644.3157894736842,599.2136842105263,735.8947368421053,671.8718947368421,23.0,26.0,2.794546558704454,5.87877549756521,-0.28968238015630066,0.0,772.1563117522999,426.27105666875264,0.0,842.2923258884347,501.4514635852494,0.0,19,132.26,0.17389989414789053,13.781914736842104,0.10420319625617802,8.788443199999998,65.47742053333334,457.07191,1096.5880280589306,967.0251094029035,0
261,2020,15E,2020-06-11,2020-07-09,738.8888888888889,674.6055555555555,801.7777777777778,732.0231111111111,23.0,28.0,2.0506269841269837,4.126787463939461,-0.02553349568549379,0.0,846.0654856438487,503.1456254672626,0.0,933.7784918962708,530.2677303259516,0.0,18,132.26,0.17389989414789053,15.515927777777776,0.11731383470268998,8.39117037037037,64.1962772839506,431.68974444444444,919.9463676609018,811.2538292131342,1
262,2020,15E,2020-07-09,2020-08-06,801.7777777777778,732.0231111111111,814.7777777777778,741.4477777777778,23.0,28.0,0.3365952380952384,2.2915933413987806,-1.510574544406299,0.0,936.2879744439421,516.2469729244789,0.0,934.331937054043,544.0827997880624,0.0,18,132.26,0.17389989414789053,16.836531555555556,0.12729874153603174,7.315681481481481,60.886692592592595,393.4065233333334,772.6048949627286,681.3208916743714,2
263,2020,15E,2020-08-06,2020-09-03,812.3157894736842,739.2073684210527,861.2631578947369,800.1134736842106,23.0,28.0,2.175218045112782,4.454527485014465,-0.10409139478890062,0.0,934.3319370540431,544.0827997880624,0.0,1027.3158835820116,572.9110637864094,0.0,19,132.26,0.17389989414789053,17.001769473684213,0.1285480831217618,6.97769135802469,60.83915185185189,385.8438781481481,750.3882375723052,661.7291534884549,3
264,2020,15E,2020-09-03,2020-10-02,861.2631578947369,800.1134736842106,875.578947368421,814.2884210526315,23.0,29.0,0.4887912885662427,2.523223206538157,-1.5456406294056715,0.0,1027.3158835820116,572.9110637864094,0.0,1041.2966696391438,587.280172466119,0.0,19,132.26,0.17389989414789053,18.402609894736845,0.13913964837998521,7.023873809523812,59.80505357142857,364.24368035714275,654.4570232102477,577.1323033588486,4
265,2020,19N,2020-05-16,2020-06-11,638.9473684210526,594.221052631579,758.0,692.054,26.0,26.0,3.7628056680161936,6.6435468318605935,0.8820645041717935,0.0,782.617737818643,405.824367444515,0.0,893.1296841987613,490.9783158012385,0.0,19,126.36,0.205761316872428,15.449747368421054,0.12226770630279403,8.790171200000001,65.71375653333337,366.50093279999993,749.38212198969,660.8419114190036,0
266,2020,19N,2020-06-11,2020-07-09,759.8888888888889,693.7785555555555,839.0,766.0070000000001,26.0,28.0,2.579587301587302,4.452556537120101,0.7770708647178268,0.0,900.2433382325779,476.5455038726851,0.0,968.1015064125689,564.0085988505889,0.0,18,126.36,0.205761316872428,18.038242444444442,0.14275278920896203,9.076915555555555,65.21241530864197,379.69419925925934,664.9505788350335,586.3860354044609,1
267,2020,19N,2020-07-09,2020-08-06,839.0526315789474,766.055052631579,899.8947368421053,818.9042105263158,26.0,28.0,1.8874699248120304,3.573927408614405,0.20013687709988148,0.0,969.7036467153264,551.9021532846733,0.0,1033.4633111793562,599.0766888206438,0.0,19,126.36,0.205761316872428,19.917431368421056,0.15762449642625084,7.7332444444444395,62.43936419753085,379.19630851851844,601.4235050957583,530.3647458582766,2
268,2020,19N,2020-08-06,2020-09-03,897.0,816.27,944.6,877.5334,26.0,28.0,2.1879785714285718,4.608896767791293,-0.23293962493414933,0.0,1033.4633111793562,599.0766888206438,0.0,1099.0076727118008,656.0591272881994,0.0,20,126.36,0.205761316872428,21.223019999999998,0.16795679012345677,7.104,61.01397407407408,384.50446000000005,572.3264592598039,504.7055436667101,3
269,2020,19N,2020-09-03,2020-10-02,944.6,877.5334,959.7,892.521,26.0,29.0,0.5168137931034479,2.8667618628719964,-1.8331342766651004,0.0,1099.0076727118008,656.0591272881994,0.0,1140.341483778077,644.7005162219236,0.0,20,126.36,0.205761316872428,22.8158684,0.18056242798353908,7.002050000000002,60.33808928571428,351.8070332142857,487.0988903161488,429.5476930673669,4
270,2020,23E,2020-05-16,2020-06-11,636.3448275862069,591.8006896551725,722.551724137931,659.6897241379311,34.0,26.0,2.611116710875332,5.337633677224142,-0.11540025547347721,0.0,737.065057161437,446.53632214890797,0.0,795.5388902098414,523.8405580660205,0.0,29,119.77,0.28387743174417635,20.121223448275867,0.16799885988374275,8.902980800000002,65.37864533333334,414.8106876,617.2819980550078,544.3495427888329,0
271,2020,23E,2020-06-11,2020-07-09,719.7333333333333,657.1165333333333,762.2666666666667,695.9494666666667,34.0,28.0,1.3868904761904761,2.6906588711351374,0.0831220812458151,0.0,797.1392839856765,517.09378268099,0.0,842.3734829692502,549.5254503640829,0.0,30,119.77,0.28387743174417635,22.341962133333332,0.1865405538393031,7.70737037037037,62.724469876543196,365.4838122222223,489.81817183982326,431.94568889227406,1
272,2020,23E,2020-07-09,2020-08-06,762.2666666666667,695.9494666666667,794.9333333333333,723.3893333333333,34.0,28.0,0.9799952380952381,3.0843409158098054,-1.1243504396193287,0.0,842.3734829692502,549.5254503640829,0.0,884.3578770669588,562.4207895997075,0.0,30,119.77,0.28387743174417635,23.662281866666667,0.19756434722106261,7.157466666666666,60.60454814814816,332.2568640740741,420.441325506847,370.76578294899184,2
273,2020,23E,2020-08-06,2020-09-03,794.9333333333333,723.3893333333333,795.6666666666666,739.1743333333333,34.0,28.0,0.5637500000000001,3.2085739610459134,-2.081073961045913,0.0,884.3578770669588,562.4207895997075,0.0,894.1861666940872,584.1624999725798,0.0,30,119.77,0.28387743174417635,24.595237333333333,0.20535390609779858,6.986701234567902,60.94599259259262,319.4666744444444,388.92208153603406,342.9705676363419,3
