"Year","Pasture","Treatment","Allocation.number","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Date","Weight","Percent_Shrink","Weight_Shrunk","Use_Flag","Outlier_Flag1"
2000,"23E","LTGI_HVY","25",NA,924,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,620,0,620,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,924,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,692,0,692,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,930,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,588,0,588,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,930,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,644,0,644,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,930,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,674,0,674,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,930,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,732,0,732,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,932,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,600,0,600,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,932,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,650,0,650,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,932,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,668,0,668,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,932,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,732,0,732,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,935,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,684,0,684,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,935,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,774,0,774,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,935,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,794,0,794,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,935,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,866,0,866,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,499,0,499,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,700,0,700,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,568,0,568,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,786,0,786,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,614,0,614,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,802,0,802,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,686,0,686,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,936,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,866,0,866,"Yes","good"
