"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"TRM","17N","14",201,2013-05-30,2013-09-28,548.7,840.72,121,292.02,2.41338842975207
2013,"TRM","17N","14",418,2013-05-30,2013-09-28,537.54,766.32,121,228.78,1.89074380165289
2013,"TRM","17N","14",436,2013-05-30,2013-09-28,569.16,823.98,121,254.82,2.10595041322314
2013,"TRM","17N","14",476,2013-05-30,2013-09-28,613.8,840.72,121,226.92,1.87537190082645
2013,"TRM","17N","14",602,2013-05-30,2013-09-28,556.14,835.14,121,279,2.30578512396694
2013,"TRM","17N","14",671,2013-05-30,2013-09-28,509.64,833.28,121,323.64,2.67471074380165
2013,"TRM","17N","14",718,2013-05-30,2013-09-28,491.04,810.96,121,319.92,2.64396694214876
2013,"TRM","17N","14",727,2013-05-30,2013-09-28,518.94,853.74,121,334.8,2.76694214876033
2013,"TRM","17N","14",835,2013-05-30,2013-09-28,626.82,943.02,121,316.2,2.61322314049587
2013,"TRM","19N","14",69,2013-05-30,2013-09-28,651,911.4,121,260.4,2.15206611570248
2013,"TRM","19N","14",76,2013-05-30,2013-09-28,533.82,879.78,121,345.96,2.85917355371901
2013,"TRM","19N","14",125,2013-05-30,2013-09-28,578.46,881.64,121,303.18,2.50561983471074
2013,"TRM","19N","14",161,2013-05-30,2013-09-28,565.44,907.68,121,342.24,2.82842975206612
2013,"TRM","19N","14",420,2013-05-30,2013-09-28,636.12,980.22,121,344.1,2.84380165289256
2013,"TRM","19N","14",445,2013-05-30,2013-09-28,608.22,946.74,121,338.52,2.79768595041322
2013,"TRM","19N","14",474,2013-05-30,2013-09-28,539.4,863.04,121,323.64,2.67471074380165
2013,"TRM","19N","14",478,2013-05-30,2013-09-28,587.76,896.52,121,308.76,2.55173553719008
2013,"TRM","19N","14",516,2013-05-30,2013-09-28,621.24,892.8,121,271.56,2.24429752066116
2013,"TRM","19N","14",526,2013-05-30,2013-09-28,524.52,837,121,312.48,2.58247933884298
2013,"TRM","19N","14",674,2013-05-30,2013-09-28,513.36,820.26,121,306.9,2.53636363636364
2013,"TRM","19N","14",694,2013-05-30,2013-09-28,500.34,848.16,121,347.82,2.87454545454545
2013,"TRM","19N","14",806,2013-05-30,2013-09-28,561.72,903.96,121,342.24,2.82842975206612
2013,"TRM","19N","14",824,2013-05-30,2013-09-28,569.16,926.28,121,357.12,2.95140495867769
2013,"TRM","20SE","14",61,2013-05-30,2013-09-28,589.62,863.04,121,273.42,2.2596694214876
2013,"TRM","20SE","14",132,2013-05-30,2013-09-28,533.82,861.18,121,327.36,2.70545454545455
2013,"TRM","20SE","14",170,2013-05-30,2013-09-28,637.98,950.46,121,312.48,2.58247933884298
2013,"TRM","20SE","14",172,2013-05-30,2013-09-28,515.22,794.22,121,279,2.30578512396694
2013,"TRM","20SE","14",184,2013-05-30,2013-09-28,563.58,879.78,121,316.2,2.61322314049587
2013,"TRM","20SE","14",188,2013-05-30,2013-09-28,526.38,822.12,121,295.74,2.44413223140496
2013,"TRM","20SE","14",408,2013-05-30,2013-09-28,504.06,740.28,121,236.22,1.95223140495868
2013,"TRM","20SE","14",412,2013-05-30,2013-09-28,624.96,859.32,121,234.36,1.93685950413223
2013,"TRM","20SE","14",415,2013-05-30,2013-09-28,543.12,784.92,121,241.8,1.99834710743802
2013,"TRM","20SE","14",673,2013-05-30,2013-09-28,565.44,957.9,121,392.46,3.24347107438017
2013,"TRM","20SE","14",683,2013-05-30,2013-09-28,571.02,892.8,121,321.78,2.65933884297521
2013,"TRM","20SE","14",801,2013-05-30,2013-09-28,652.86,963.48,121,310.62,2.56710743801653
2013,"TRM","20SE","14",807,2013-05-30,2013-09-28,578.46,950.46,121,372,3.07438016528926
2013,"TRM","20SE","14",815,2013-05-30,2013-09-28,608.22,952.32,121,344.1,2.84380165289256
2013,"TRM","24W","14",49,2013-05-30,2013-09-28,569.16,872.34,121,303.18,2.50561983471074
2013,"TRM","24W","14",78,2013-05-30,2013-09-28,533.82,842.58,121,308.76,2.55173553719008
