Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1
18S,5/30/2014,1,10,14,7,crmi,g,0
18S,5/30/2014,1,11,13,8,crmi,b,0
18S,5/30/2014,1,12,24,4,oeal,g,0
18S,5/30/2014,1,13,22,4,sihy,b,0
18S,5/30/2014,1,14,28,2,oppo,g,1
18S,5/30/2014,1,15,40,3,stco,b,0
18S,5/30/2014,1,16,29,5,stco,b,0
18S,5/30/2014,1,17,36,4,stco,b,0
18S,5/30/2014,1,18,30,6,stco,b,0
18S,5/30/2014,1,19,36,18,oeal,g,0
18S,5/30/2014,1,20,42,3,stco,g,0
18S,5/30/2014,1,21,36,5,stco,g,0
18S,5/30/2014,1,22,36,2,atca,g,0
18S,5/30/2014,1,23,40,9,sihy,g,0
18S,5/30/2014,1,24,48,8,crmi,b,0
18S,5/30/2014,1,25,20,4,vuoc,g,1
18S,5/30/2014,2,1,38,10,stco,g,0
18S,5/30/2014,2,2,30,7,sihy,g,0
18S,5/30/2014,2,3,36,8,stco,g,0
18S,5/30/2014,2,4,41,5,stco,g,0
18S,5/30/2014,2,5,26,4,stco,g,0
18S,5/30/2014,2,6,40,3,stco,g,0
18S,5/30/2014,2,7,46,13,stco,g,0
18S,5/30/2014,2,8,40,7,stco,g,0
18S,5/30/2014,2,9,36,5,stco,g,0
18S,5/30/2014,2,10,37,6,stco,g,0
18S,5/30/2014,2,11,34,7,oeal,b,0
18S,5/30/2014,2,12,34,5,stco,g,0
18S,5/30/2014,2,13,44,6,vuoc,g,1
18S,5/30/2014,2,14,32,3,stco,g,0
18S,5/30/2014,2,15,40,5,stco,g,0
18S,5/30/2014,2,16,38,6,bogr,g,0
18S,5/30/2014,2,17,40,6,stco,g,0
18S,5/30/2014,2,18,30,7,stco,g,0
18S,5/30/2014,2,19,31,5,stco,g,0
18S,5/30/2014,2,20,20,7,oeal,g,0
18S,5/30/2014,2,21,26,5,bogr,g,0
18S,5/30/2014,2,22,22,5,oeal,g,0
18S,5/30/2014,2,23,28,4,stco,g,0
18S,5/30/2014,2,24,41,18,atca,g,0
18S,5/30/2014,2,25,21,4,oppo,g,1
18S,5/30/2014,3,1,44,5,oeal,g,0
18S,5/30/2014,3,2,14,5,crmi,g,0
18S,5/30/2014,3,3,36,19,atca,g,0
18S,5/30/2014,3,4,33,9,pasm,b,0
18S,5/30/2014,3,5,34,6,pasm,b,0
18S,5/30/2014,3,6,19,7,crmi,g,0
18S,5/30/2014,3,7,36,23,atca,b,0
18S,5/30/2014,3,8,32,5,bogr,b,0
18S,5/30/2014,3,9,30,2,atca,g,0
18S,5/30/2014,3,10,31,9,pasm,g,0
18S,5/30/2014,3,11,36,9,pasm,b,0
18S,5/30/2014,3,12,30,6,oeal,g,0
18S,5/30/2014,3,13,34,3,pasm,g,0
18S,5/30/2014,3,14,32,7,stco,b,0
18S,5/30/2014,3,15,36,17,atca,g,0
18S,5/30/2014,3,16,12,4,lare,g,0
18S,5/30/2014,3,17,18,3,cael,g,0
18S,5/30/2014,3,18,26,5,oppo,g,1
18S,5/30/2014,3,19,20,5,vuoc,b,1
18S,5/30/2014,3,20,36,5,pasm,g,0
18S,5/30/2014,3,21,11,7,crmi,g,0
18S,5/30/2014,3,22,21,8,oeal,g,0
18S,5/30/2014,3,23,24,8,pasm,g,0
18S,5/30/2014,3,24,23,9,pasm,g,0
18S,5/30/2014,3,25,38,10,atca,g,0
18S,5/30/2014,4,1,21,3,pasm,g,0
18S,5/30/2014,4,2,16,3,pasm,g,0
18S,5/30/2014,4,3,15,1,vuoc,b,1
18S,5/30/2014,4,4,29,5,stco,g,0
18S,5/30/2014,4,5,31,6,stco,g,0
18S,5/30/2014,4,6,30,5,stco,g,0
18S,5/30/2014,4,7,13,4,crmi,g,0
18S,5/30/2014,4,8,29,7,stco,g,0
18S,5/30/2014,4,9,28,3,stco,g,0
18S,5/30/2014,4,10,26,3,oppo,g,1
18S,5/30/2014,4,11,42,5,atca,g,0
18S,5/30/2014,4,12,32,3,bogr,g,0
18S,5/30/2014,4,13,26,3,crmi,g,0
18S,5/30/2014,4,14,22,4,bogr,g,0
18S,5/30/2014,4,15,20,3,pasm,g,0
18S,5/30/2014,4,16,21,4,pasm,g,0
18S,5/30/2014,4,17,12,6,oppo,g,1
18S,5/30/2014,4,18,11,5,oeal,g,0
18S,5/30/2014,4,19,15,3,cael,g,0
18S,5/30/2014,4,20,26,3,pasm,g,0
18S,5/30/2014,4,21,19,3,cael,g,0
18S,5/30/2014,4,22,16,3,bogr,g,0
18S,5/30/2014,4,23,13,2,pasm,g,0
18S,5/30/2014,4,24,19,3,pasm,g,0
18S,5/30/2014,4,25,23,6,pasm,g,0
18S,6/3/2014,1,1,24,6,piop,g,0
18S,6/3/2014,1,2,14,3,oeal,g,0
18S,6/3/2014,1,3,26,4,crmi,g,0
18S,6/3/2014,1,4,10,4,bogr,g,0
18S,6/3/2014,1,5,12,6,vuoc,b,1
18S,6/3/2014,1,6,32,7,siab,g,0
18S,6/3/2014,1,7,32,4,oppo,b,1
18S,6/3/2014,1,8,20,7,bogr,g,0
18S,6/3/2014,1,9,24,6,atca,g,0
18S,6/3/2014,1,10,6,1,crmi,g,0
18S,6/3/2014,1,11,10,7,crmi,b,0
18S,6/3/2014,1,12,25,3,bogr,g,0
18S,6/3/2014,1,13,22,3,sihy,g,0
18S,6/3/2014,1,14,24,2,bogr,b,0
18S,6/3/2014,1,15,32,3,bogr,b,0
18S,6/3/2014,1,16,36,10,sihy,g,0
18S,6/3/2014,1,17,32,8,oppo,g,1
18S,6/3/2014,1,18,16,3,Eref,g,1
18S,6/3/2014,1,19,56,6,stco,g,0
18S,6/3/2014,1,20,8,4,vuoc,g,1
18S,6/3/2014,1,21,18,2,vuoc,g,1
18S,6/3/2014,1,22,28,13,sihy,g,0
18S,6/3/2014,1,23,42,8,vuoc,g,1
18S,6/3/2014,1,24,49,6,stco,g,0
18S,6/3/2014,1,25,40,3,Eref,g,1
18S,6/3/2014,2,1,34,8,vuoc,g,1
18S,6/3/2014,2,2,42,6,stco,g,0
18S,6/3/2014,2,3,34,5,stco,g,0
18S,6/3/2014,2,4,40,5,stco,g,0
18S,6/3/2014,2,5,34,4,stco,g,0
18S,6/3/2014,2,6,54,5,stco,g,0
18S,6/3/2014,2,7,58,10,stco,g,0
18S,6/3/2014,2,8,42,5,vuoc,g,1
18S,6/3/2014,2,9,30,6,vuoc,g,1
18S,6/3/2014,2,10,22,2,cael,g,0
18S,6/3/2014,2,11,40,3,cael,g,0
18S,6/3/2014,2,12,41,8,stco,g,0
18S,6/3/2014,2,13,54,5,stco,g,0
18S,6/3/2014,2,14,42,6,sihy,g,0
18S,6/3/2014,2,15,52,7,stco,g,0
18S,6/3/2014,2,16,61,9,stco,g,0
18S,6/3/2014,2,17,48,8,stco,g,0
18S,6/3/2014,2,18,38,6,stco,g,0
18S,6/3/2014,2,19,54,11,stco,g,0
18S,6/3/2014,2,20,46,10,stco,g,0
18S,6/3/2014,2,21,34,6,cael,b,0
18S,6/3/2014,2,22,21,4,bogr,g,0
18S,6/3/2014,2,23,28,4,ipla,g,0
18S,6/3/2014,2,24,28,6,atca,g,0
18S,6/3/2014,2,25,24,3,pasm,g,0
18S,6/3/2014,3,1,54,7,stco,g,0
18S,6/3/2014,3,2,14,6,crmi,g,0
18S,6/3/2014,3,3,52,7,vuoc,g,1
18S,6/3/2014,3,4,30,6,stco,g,0
18S,6/3/2014,3,5,30,5,bogr,g,0
18S,6/3/2014,3,6,34,5,oppo,g,1
18S,6/3/2014,3,7,24,3,crmi,g,0
18S,6/3/2014,3,8,36,5,stco,b,0
18S,6/3/2014,3,9,26,6,crmi,g,0
18S,6/3/2014,3,10,24,4,crmi,g,0
18S,6/3/2014,3,11,32,4,stco,g,0
18S,6/3/2014,3,12,32,5,bogr,b,0
18S,6/3/2014,3,13,24,3,bogr,b,0
18S,6/3/2014,3,14,20,5,bogr,g,0
18S,6/3/2014,3,15,32,7,atca,g,0
18S,6/3/2014,3,16,19,3,stco,g,0
18S,6/3/2014,3,17,13,5,bogr,g,0
18S,6/3/2014,3,18,38,12,atca,g,0
18S,6/3/2014,3,19,44,16,pasm,g,0
18S,6/3/2014,3,20,31,19,atca,g,0
18S,6/3/2014,3,21,29,6,bogr,g,0
18S,6/3/2014,3,22,21,7,pasm,g,0
18S,6/3/2014,3,23,25,8,pasm,g,0
18S,6/3/2014,3,24,26,8,pasm,g,0
18S,6/3/2014,3,25,15,7,pasm,g,0
18S,6/3/2014,4,1,24,5,pasm,g,0
18S,6/3/2014,4,2,30,6,pasm,g,0
18S,6/3/2014,4,3,26,4,stco,g,0
18S,6/3/2014,4,4,21,4,stco,g,0
18S,6/3/2014,4,5,40,5,stco,g,0
18S,6/3/2014,4,6,42,6,stco,g,0
18S,6/3/2014,4,7,38,5,bogr,g,0
18S,6/3/2014,4,8,36,6,stco,g,0
18S,6/3/2014,4,9,26,5,eref,g,1
18S,6/3/2014,4,10,40,5,stco,g,0
18S,6/3/2014,4,11,48,9,stco,g,0
18S,6/3/2014,4,12,51,6,stco,g,0
18S,6/3/2014,4,13,32,9,pasm,g,0
18S,6/3/2014,4,14,41,4,crmi,g,0
18S,6/3/2014,4,15,24,7,pasm,g,0
18S,6/3/2014,4,16,48,8,stco,g,0
18S,6/3/2014,4,17,26,5,bogr,g,0
18S,6/3/2014,4,18,24,4,cael,g,0
18S,6/3/2014,4,19,11,4,eref,g,1
18S,6/3/2014,4,20,14,3,cael,g,0
18S,6/3/2014,4,21,12,2,bogr,g,0
18S,6/3/2014,4,22,12,5,pasm,g,0
18S,6/3/2014,4,23,23,3,cael,g,0
18S,6/3/2014,4,24,16,4,cael,g,0
18S,6/3/2014,4,25,29,13,pasm,g,0
18S,6/10/2014,1,1,2,13,sihy,g,0
18S,6/10/2014,1,2,29,8,sihy,g,0
18S,6/10/2014,1,3,13,3,bogr,g,0
18S,6/10/2014,1,4,7,3,bogr,g,0
18S,6/10/2014,1,5,26,3,thfi,g,0
18S,6/10/2014,1,6,22,3,bogr,g,0
18S,6/10/2014,1,7,27,3,bogr,g,0
18S,6/10/2014,1,8,25,3,bogr,g,0
18S,6/10/2014,1,9,19,2,bogr,g,0
18S,6/10/2014,1,10,7,5,bogr,g,0
18S,6/10/2014,1,11,10,5,oppo,g,1
18S,6/10/2014,1,12,42,10,atca,g,0
18S,6/10/2014,1,13,20,5,bogr,g,0
18S,6/10/2014,1,14,44,8,oppo,g,1
18S,6/10/2014,1,15,29,21,sihy,g,0
18S,6/10/2014,1,16,35,18,atca,g,0
18S,6/10/2014,1,17,21,9,sihy,g,0
18S,6/10/2014,1,18,26,6,sihy,g,0
18S,6/10/2014,1,19,11,6,crmi,g,0
18S,6/10/2014,1,20,31,6,oppo,g,1
18S,6/10/2014,1,21,8,3,vuoc,g,1
18S,6/10/2014,1,22,51,10,vuoc,g,1
18S,6/10/2014,1,23,20,10,sihy,g,0
18S,6/10/2014,1,24,74,13,stco,g,0
18S,6/10/2014,1,25,52,28,atca,g,0
18S,6/10/2014,2,1,34,7,stco,g,0
18S,6/10/2014,2,2,56,10,stco,g,0
18S,6/10/2014,2,3,54,9,stco,g,0
18S,6/10/2014,2,4,61,9,stco,g,0
