Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
17S,6/17/2015,5,12,10,1,bogr,g,0,1
17S,6/17/2015,5,13,14,3,bogr,b,0,3
17S,6/17/2015,5,14,11,3,bogr,g,0,3
17S,6/17/2015,5,15,18,6,arlo,g,1,
17S,6/17/2015,5,16,21,9,bogr,g,0,9
17S,6/17/2015,5,17,22,5,pasm,g,0,5
17S,6/17/2015,5,18,22,1,bogr,b,0,1
17S,6/17/2015,5,19,4,1,bogr,g,0,1
17S,6/17/2015,5,20,22,2,bogr,g,0,2
17S,6/17/2015,5,21,14,2,bogr,g,0,2
17S,6/17/2015,5,22,22,1,bogr,b,0,1
17S,6/17/2015,5,23,15,5,bogr,g,0,5
17S,6/17/2015,5,24,6,1,bogr,g,0,1
17S,6/17/2015,5,25,7,1,bogr,b,0,1
17S,6/17/2015,6,1,28,8,stco,g,0,8
17S,6/17/2015,6,2,23,9,stco,g,0,9
17S,6/17/2015,6,3,54,12,stco,g,0,12
17S,6/17/2015,6,4,52,13,stco,g,0,13
17S,6/17/2015,6,5,35,8,stco,g,0,8
17S,6/17/2015,6,6,16,3,stco,g,0,3
17S,6/17/2015,6,7,38,10,stco,g,0,10
17S,6/17/2015,6,8,40,15,stco,g,0,15
17S,6/17/2015,6,9,40,9,stco,g,0,9
17S,6/17/2015,6,10,34,3,stco,g,0,3
17S,6/17/2015,6,11,38,9,stco,g,0,9
17S,6/17/2015,6,12,13,4,stco,g,0,4
17S,6/17/2015,6,13,34,11,stco,g,0,11
17S,6/17/2015,6,14,54,18,stco,g,0,18
17S,6/17/2015,6,15,54,9,stco,g,0,9
17S,6/17/2015,6,16,30,13,stco,g,0,13
17S,6/17/2015,6,17,22,4,stco,g,0,4
17S,6/17/2015,6,18,30,8,stco,g,0,8
17S,6/17/2015,6,19,22,5,stco,g,0,5
17S,6/17/2015,6,20,26,15,stco,g,0,15
17S,6/17/2015,6,21,16,5,stco,g,0,5
17S,6/17/2015,6,22,46,13,stco,g,0,13
17S,6/17/2015,6,23,16,9,stco,b,0,9
17S,6/17/2015,6,24,16,2,stco,b,0,2
17S,6/17/2015,6,25,12,3,stco,b,0,3
17S,6/24/2015,5,1,13,1,bogr,g,0,1
17S,6/24/2015,5,2,6,1,bogr,g,0,1
17S,6/24/2015,5,3,8,1,bogr,g,0,1
17S,6/24/2015,5,4,12,3,bogr,g,0,3
17S,6/24/2015,5,5,16,3,vuoc,b,1,
17S,6/24/2015,5,6,20,3,bogr,g,0,3
17S,6/24/2015,5,7,20,2,pasm,g,0,2
17S,6/24/2015,5,8,26,5,pasm,g,0,5
17S,6/24/2015,5,9,33,5,vuoc,g,1,
17S,6/24/2015,5,10,13,4,bogr,g,0,4
17S,6/24/2015,5,11,16,1,bogr,g,0,1
