Year,Id,SOS_doy,SOS_date,NDVI_smooth2
2015,28N_P2,94,2015-04-05,0.19597790423038638
2015,28N_P3,92,2015-04-03,0.20479630508504548
2015,28N_P4,95,2015-04-06,0.20648127368358682
2015,31E_P1,88,2015-03-30,0.1789113583064219
2015,31E_P2,90,2015-04-01,0.17118104838936868
2015,31E_P3,90,2015-04-01,0.1743967613382409
2015,31E_P4,92,2015-04-03,0.18012077103832042
2015,31W_P1,94,2015-04-05,0.17319849810445023
2015,31W_P2,80,2015-03-22,0.1644247850810054
2015,31W_P3,89,2015-03-31,0.1763042127950679
2015,31W_P4,100,2015-04-11,0.19028314217475636
2015,32W_P1,91,2015-04-02,0.1730475171811845
2015,32W_P2,93,2015-04-04,0.18078276040520025
2015,32W_P3,92,2015-04-03,0.17029867825912742
2015,32W_P4,94,2015-04-05,0.17770994587316755
2015,5E_P1,109,2015-04-20,0.15735106044834668
2015,5E_P2,110,2015-04-21,0.1642036514214284
2015,5E_P3,106,2015-04-17,0.16393767249216687
2015,5E_P4,103,2015-04-14,0.17902917373967273
2015,7NW_P1,97,2015-04-08,0.16773600926361182
2015,7NW_P2,91,2015-04-02,0.16962559724152582
2015,7NW_P3,94,2015-04-05,0.16998945201132473
2015,7NW_P4,93,2015-04-04,0.18942344038376766
2015,7NW_P5,91,2015-04-02,0.1824241059705962
2015,7NW_P6,90,2015-04-01,0.18135305227456283
2015,7SE_P1,87,2015-03-29,0.17222214501056576
2015,7SE_P2,63,2015-03-05,0.16518045978492724
2015,7SE_P3,63,2015-03-05,0.16739234287825974
2015,7SE_P4,93,2015-04-04,0.1768938052198568
2015,7SE_P5,91,2015-04-02,0.19622057940087595
2015,7SE_P6,63,2015-03-05,0.16860648544678403
2015,8E_P1,95,2015-04-06,0.17376077322852118
2015,8E_P2,95,2015-04-06,0.17095792862782724
2015,8E_P3,63,2015-03-05,0.16045955412327226
2015,8E_P4,64,2015-03-06,0.1534707541755568
2016,10S_P1,105,2016-04-15,0.26101496545480846
2016,10S_P2,58,2016-02-28,0.21113020109252364
2016,10S_P3,60,2016-03-01,0.1682606859808198
2016,10S_P4,57,2016-02-27,0.2300649761231754
2016,15E_P1,59,2016-02-29,0.17023527261779603
2016,15E_P2,58,2016-02-28,0.17915793177177575
2016,15E_P3,58,2016-02-28,0.202313980089038
2016,15E_P4,58,2016-02-28,0.19360638971028116
2016,17N_P1,57,2016-02-27,0.17677820996513274
2016,17N_P2,58,2016-02-28,0.1806562181075372
2016,17N_P3,63,2016-03-04,0.16647071112436482
2016,17N_P4,83,2016-03-24,0.13687998177971436
2016,17N_P5,74,2016-03-15,0.18891608965517206
2016,17N_P6,63,2016-03-04,0.16179113048170182
2016,17S_P1,58,2016-02-28,0.18986989818945
2016,17S_P2,57,2016-02-27,0.18940973276380582
2016,17S_P3,63,2016-03-04,0.15108659712989367
2016,17S_P4,83,2016-03-24,0.17025514790881124
2016,17S_P5,61,2016-03-02,0.16342178236959568
2016,17S_P6,60,2016-03-01,0.18059397344581044
2016,18S_P1,61,2016-03-02,0.17644455447899543
2016,18S_P2,60,2016-03-01,0.16871161777534235
2016,18S_P3,71,2016-03-12,0.173210246298243
2016,18S_P4,61,2016-03-02,0.18093173809954444
2016,18S_P5,62,2016-03-03,0.17525328304291196
2016,18S_P6,61,2016-03-02,0.18306324367681512
2016,19N_P1,58,2016-02-28,0.17725858625127422
2016,19N_P2,61,2016-03-02,0.17351992524179666
2016,19N_P3,59,2016-02-29,0.17660838138720072
2016,19N_P4,68,2016-03-09,0.15986377738924062
2016,19N_P5,58,2016-02-28,0.19535263399435954
2016,19N_P6,70,2016-03-11,0.17559544569089566
2016,1W_P1,75,2016-03-16,0.19459617387684885
2016,1W_P2,73,2016-03-14,0.18084600481656757
2016,1W_P3,78,2016-03-19,0.1783061537033336
2016,1W_P4,71,2016-03-12,0.16995044613685742
2016,20NW_P1,60,2016-03-01,0.16381997447532493
2016,20NW_P2,62,2016-03-03,0.1660030843486293
2016,20NW_P3,62,2016-03-03,0.16293968393574243
2016,20NW_P4,61,2016-03-02,0.17698847784566493
2016,20NW_P5,68,2016-03-09,0.14518098018858752
2016,20NW_P6,63,2016-03-04,0.14665069993720972
2016,20SE_P1,63,2016-03-04,0.1647655036795356
2016,20SE_P2,63,2016-03-04,0.165051678429252
2016,20SE_P3,63,2016-03-04,0.16714799308398592
2016,20SE_P4,92,2016-04-02,0.15053955655464968
2016,20SE_P5,81,2016-03-22,0.1413492105676711
2016,20SE_P6,70,2016-03-11,0.15514010075898654
2016,21N_P1,62,2016-03-03,0.16560826860971858
2016,21N_P2,59,2016-02-29,0.170551184955454
2016,21N_P3,61,2016-03-02,0.1747515099661525
2016,21N_P4,73,2016-03-14,0.20025566292841243
2016,23E_P1,59,2016-02-29,0.18967155419916262
2016,23E_P2,58,2016-02-28,0.2062558025913073
2016,23E_P3,58,2016-02-28,0.20209363499306995
2016,23E_P4,59,2016-02-29,0.18743653841212254
2016,24W_P1,59,2016-02-29,0.1705074764653033
2016,24W_P2,75,2016-03-16,0.19725760738305917
2016,24W_P3,58,2016-02-28,0.17828612225537663
2016,24W_P4,61,2016-03-02,0.15689707861152596
2016,25NW_P1,60,2016-03-01,0.167354595802965
2016,25NW_P2,59,2016-02-29,0.18143742478797437
2016,25NW_P3,58,2016-02-28,0.18028711886853097
2016,25NW_P4,56,2016-02-26,0.20432580967742112
2016,25SE_P1,61,2016-03-02,0.16998658512681444
2016,25SE_P2,58,2016-02-28,0.19188718666726948
2016,25SE_P3,58,2016-02-28,0.17794786549185468
2016,25SE_P4,62,2016-03-03,0.14055770688556762
2016,26E_P1,62,2016-03-03,0.17753579400155092
2016,26E_P2,61,2016-03-02,0.17714326719444143
2016,26E_P3,58,2016-02-28,0.20002510259602027
2016,26E_P4,59,2016-02-29,0.1734534278629966
2016,26W_P1,58,2016-02-28,0.19936707263930895
2016,26W_P2,61,2016-03-02,0.20079105448346693
2016,26W_P3,58,2016-02-28,0.21001209722300948
2016,26W_P4,59,2016-02-29,0.21406879759815267
2016,28N_P1,61,2016-03-02,0.19946445335885585
2016,28N_P2,60,2016-03-01,0.1856049004651883
2016,28N_P3,59,2016-02-29,0.19264765447393406
2016,28N_P4,63,2016-03-04,0.19317917415584307
2016,31E_P1,58,2016-02-28,0.17726483450924488
2016,31E_P2,75,2016-03-16,0.16865807099966318
2016,31E_P3,72,2016-03-13,0.17599236268190993
2016,31E_P4,61,2016-03-02,0.16639440606462635
2016,31W_P1,72,2016-03-13,0.15204152403887977
2016,31W_P2,73,2016-03-14,0.1582303626958959
2016,31W_P3,59,2016-02-29,0.16340660099560722
2016,31W_P4,83,2016-03-24,0.18754203097639133
2016,32W_P1,78,2016-03-19,0.17697871423881908
2016,32W_P2,72,2016-03-13,0.1820822908161582
2016,32W_P3,59,2016-02-29,0.15954577227011804
2016,32W_P4,73,2016-03-14,0.17346502725805207
2016,5E_P1,73,2016-03-14,0.1585759010361473
2016,5E_P2,76,2016-03-17,0.1633041878595375
2016,5E_P3,60,2016-03-01,0.15638750236767895
2016,5E_P4,71,2016-03-12,0.16961228673989912
2016,7NW_P1,86,2016-03-27,0.16621501056934346
2016,7NW_P2,61,2016-03-02,0.15382125927408344
2016,7NW_P3,61,2016-03-02,0.16558219198359914
2016,7NW_P4,65,2016-03-06,0.18889552987007688
2016,7NW_P5,59,2016-02-29,0.17797677477882431
2016,7NW_P6,63,2016-03-04,0.15515046499051624
2016,7SE_P1,62,2016-03-03,0.14455146729635532
2016,7SE_P2,61,2016-03-02,0.1543540644201706
2016,7SE_P3,60,2016-03-01,0.15213958324785687
2016,7SE_P4,73,2016-03-14,0.17893368291451237
2016,7SE_P5,73,2016-03-14,0.16346237407044859
2016,7SE_P6,63,2016-03-04,0.1488989618472496
2016,8E_P1,78,2016-03-19,0.1632800557342522
2016,8E_P2,70,2016-03-11,0.1620065438294797
2016,8E_P3,61,2016-03-02,0.14457611101764847
2016,8E_P4,73,2016-03-14,0.14316572418044804
2017,10S_P1,83,2017-03-25,0.1652029649611867
2017,10S_P2,85,2017-03-27,0.17104668161834624
2017,10S_P3,77,2017-03-19,0.16339067351960856
2017,10S_P4,70,2017-03-12,0.16721399908063458
2017,15E_P1,63,2017-03-05,0.15696929580613433
2017,15E_P2,79,2017-03-21,0.15979355253068192
2017,15E_P3,76,2017-03-18,0.1651011938621642
2017,15E_P4,63,2017-03-05,0.1657399626642187
2017,17N_P1,63,2017-03-05,0.15452671646512342
2017,17N_P2,63,2017-03-05,0.15824138880272953
2017,17N_P3,90,2017-04-01,0.18015396659329436
2017,17N_P4,63,2017-03-05,0.15623936950924805
2017,17N_P5,63,2017-03-05,0.1682563713024397
2017,17N_P6,63,2017-03-05,0.16729075539842142
2017,17S_P1,63,2017-03-05,0.16480764576119042
2017,17S_P2,63,2017-03-05,0.16288450926312137
2017,17S_P3,63,2017-03-05,0.15911352256539227
2017,17S_P4,63,2017-03-05,0.16840070200682966
2017,17S_P5,66,2017-03-08,0.15416687858504693
2017,17S_P6,63,2017-03-05,0.16745203346485668
2017,18S_P1,63,2017-03-05,0.16861105245627195
2017,18S_P2,69,2017-03-11,0.16334660459894598
2017,18S_P3,66,2017-03-08,0.17135120395450748
2017,18S_P4,63,2017-03-05,0.16974057999651948
2017,18S_P5,63,2017-03-05,0.1892889901888227
2017,18S_P6,63,2017-03-05,0.18475174384997914
2017,19N_P1,63,2017-03-05,0.16263778096832382
2017,19N_P2,63,2017-03-05,0.1645014328350131
2017,19N_P3,63,2017-03-05,0.1714288304609673
2017,19N_P4,94,2017-04-05,0.17075462230376875
2017,19N_P5,86,2017-03-28,0.20727157452062211
2017,19N_P6,70,2017-03-12,0.19576212941426022
2017,1W_P1,63,2017-03-05,0.16897415700560506
2017,1W_P2,92,2017-04-03,0.16465426597322275
2017,1W_P3,69,2017-03-11,0.16556507939780615
2017,1W_P4,97,2017-04-08,0.1681862836716503
2017,20NW_P1,66,2017-03-08,0.16477328164600658
2017,20NW_P2,68,2017-03-10,0.16374465459129048
2017,20NW_P3,67,2017-03-09,0.15813120753412233
2017,20NW_P4,65,2017-03-07,0.15685219085002333
2017,20NW_P5,63,2017-03-05,0.1520744046157215
2017,20NW_P6,63,2017-03-05,0.15232098834900232
2017,20SE_P1,63,2017-03-05,0.1581542308579863
2017,20SE_P2,63,2017-03-05,0.16036827906554404
2017,20SE_P3,63,2017-03-05,0.1621027522517835
2017,20SE_P4,63,2017-03-05,0.15089384315556728
2017,20SE_P5,67,2017-03-09,0.1482068420184443
2017,20SE_P6,63,2017-03-05,0.15353262509832438
2017,21N_P1,63,2017-03-05,0.17499288805679536
2017,21N_P2,63,2017-03-05,0.16239951301516642
2017,21N_P3,63,2017-03-05,0.16569813282243617
2017,21N_P4,71,2017-03-13,0.17178582429410666
2017,23E_P1,63,2017-03-05,0.17553404742896972
2017,23E_P2,63,2017-03-05,0.17357756461435042
2017,23E_P3,63,2017-03-05,0.1717456903842168
2017,23E_P4,63,2017-03-05,0.16749952761623152
2017,24W_P1,63,2017-03-05,0.15988068106085426
2017,24W_P2,76,2017-03-18,0.16280522511610343
2017,24W_P3,68,2017-03-10,0.1621112949836533
2017,24W_P4,73,2017-03-15,0.16166900095027997
2017,25NW_P1,99,2017-04-10,0.17774183903271581
2017,25NW_P2,63,2017-03-05,0.16322229810988012
2017,25NW_P3,102,2017-04-13,0.17620874530485914
2017,25NW_P4,103,2017-04-14,0.1824729763845045
2017,25SE_P1,101,2017-04-12,0.1743618771775227
2017,25SE_P2,91,2017-04-02,0.16671523991736645
2017,25SE_P3,92,2017-04-03,0.17091804947119454
2017,25SE_P4,63,2017-03-05,0.1535878618994087
2017,26E_P1,63,2017-03-05,0.1585399688869621
2017,26E_P2,63,2017-03-05,0.1579265192514756
2017,26E_P3,91,2017-04-02,0.16465231591778412
2017,26E_P4,91,2017-04-02,0.1670413415848625
2017,26W_P1,63,2017-03-05,0.1628877071093281
2017,26W_P2,63,2017-03-05,0.16216852495051892
2017,26W_P3,63,2017-03-05,0.1640293918528033
2017,26W_P4,63,2017-03-05,0.1676243754327204
2017,28N_P1,63,2017-03-05,0.1701544340243268
2017,28N_P2,63,2017-03-05,0.16598791678218439
2017,28N_P3,63,2017-03-05,0.168856100903255
2017,28N_P4,63,2017-03-05,0.1723332844855955
2017,31E_P1,63,2017-03-05,0.15812076934450026
2017,31E_P2,63,2017-03-05,0.1541614251331634
2017,31E_P3,99,2017-04-10,0.16309100602979454
2017,31E_P4,95,2017-04-06,0.16858175020510843
2017,31W_P1,63,2017-03-05,0.15992534912791725
2017,31W_P2,63,2017-03-05,0.15240933174360397
2017,31W_P3,98,2017-04-09,0.16444995248125788
2017,31W_P4,63,2017-03-05,0.16442660647045035
2017,32W_P1,91,2017-04-02,0.15543409130392571
2017,32W_P2,95,2017-04-06,0.16596140135309825
2017,32W_P3,63,2017-03-05,0.16035140427712927
2017,32W_P4,98,2017-04-09,0.1690004334674528
2017,5E_P1,63,2017-03-05,0.16312379569242053
2017,5E_P2,69,2017-03-11,0.1685881922781665
2017,5E_P3,66,2017-03-08,0.16624227949617806
2017,5E_P4,71,2017-03-13,0.1735309673599434
2017,7NW_P1,68,2017-03-10,0.15794889967012188
2017,7NW_P2,63,2017-03-05,0.15631218013055168
2017,7NW_P3,63,2017-03-05,0.1645106227918169
2017,7NW_P4,63,2017-03-05,0.17293705078354468
2017,7NW_P5,63,2017-03-05,0.16998375823377
2017,7NW_P6,63,2017-03-05,0.16842726722253246
2017,7SE_P1,63,2017-03-05,0.15422901048188403
2017,7SE_P2,63,2017-03-05,0.1567925104062985
2017,7SE_P3,63,2017-03-05,0.1557259075980945
2017,7SE_P4,63,2017-03-05,0.1630265737987749
2017,7SE_P5,63,2017-03-05,0.170701288542235
2017,7SE_P6,63,2017-03-05,0.1564249153644201
2017,8E_P1,65,2017-03-07,0.16361663740137355
2017,8E_P2,67,2017-03-09,0.16657578555329192
2017,8E_P3,70,2017-03-12,0.1568555632666043
2017,8E_P4,74,2017-03-16,0.15614487149159462
2018,10S_P1,60,2018-03-02,0.18055086115537922
2018,10S_P2,60,2018-03-02,0.17884997725726481
2018,10S_P3,61,2018-03-03,0.16800197088625923
2018,10S_P4,61,2018-03-03,0.18211144012989328
2018,15E_P1,62,2018-03-04,0.16942195205627417
2018,15E_P2,61,2018-03-03,0.17572945457444536
2018,15E_P3,60,2018-03-02,0.18422521559014124
2018,15E_P4,62,2018-03-04,0.1883198377609727
2018,17N_P1,68,2018-03-10,0.16005562514056668
2018,17N_P2,67,2018-03-09,0.1656565919281343
2018,17N_P3,69,2018-03-11,0.17471098530963677
2018,17N_P4,73,2018-03-15,0.15828247116229407
2018,17N_P5,66,2018-03-08,0.18702523766442972
2018,17N_P6,68,2018-03-10,0.18191767469790227
2018,17S_P1,60,2018-03-02,0.1775552642183786
2018,17S_P2,65,2018-03-07,0.17406570399913515
2018,17S_P3,71,2018-03-13,0.1644865181019977
2018,17S_P4,68,2018-03-10,0.1681313517858923
2018,17S_P5,69,2018-03-11,0.16680631262427753
2018,17S_P6,68,2018-03-10,0.17506739100724375
2018,18S_P1,61,2018-03-03,0.1946762848111236
2018,18S_P2,64,2018-03-06,0.1909335148510977
2018,18S_P3,64,2018-03-06,0.19778744957277164
2018,18S_P4,65,2018-03-07,0.19568247910091663
2018,18S_P5,60,2018-03-02,0.16173748283364245
2018,18S_P6,58,2018-02-28,0.1638421287528538
2018,19N_P1,65,2018-03-07,0.1852207997210336
2018,19N_P2,66,2018-03-08,0.19105632929846234
2018,19N_P3,64,2018-03-06,0.18952182013752764
2018,19N_P4,66,2018-03-08,0.18145237769770176
2018,19N_P5,61,2018-03-03,0.18931927401414095
2018,19N_P6,65,2018-03-07,0.1783440645652853
